scenario_id,source_date,simulation_hour,rainfall_mm_h,cumulative_rainfall_mm,observed_daily_rainfall_mm,temporal_profile,cohesion_kpa,friction_angle_deg,unit_weight_kn_m3,young_modulus_mpa,poisson_ratio,permeability_m_s,drainage_efficiency,water_table_m,storage_coefficient,mesh_nodes,mesh_elements,gravity_total_max_displacement_mm,rainfall_induced_max_displacement_mm,crest_displacement_mm,toe_displacement_mm,maximum_pore_pressure_kpa,mean_effective_stress_kpa,mohr_coulomb_safety_index,risk_level,solver_iterations,solver_residual,rainfall_source,mechanical_response_source,parameter_source,scientific_status
TA01-S0004,2021-08-25,1,0.082917,0.082917,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89432,0.00001,18.89432,4.07809,189.2485,381.0879,1.2817,VIGILANCIA,135,9.807791e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,2,0.082917,0.165833,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89431,0.00002,18.89431,4.07809,189.249,381.0879,1.2817,VIGILANCIA,135,9.918665e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,3,0.082917,0.24875,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.8943,0.00003,18.8943,4.07809,189.2496,381.0878,1.2817,VIGILANCIA,135,9.925776e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,4,0.082917,0.331667,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.8943,0.00004,18.8943,4.07809,189.2501,381.0877,1.2817,VIGILANCIA,135,9.90893e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,5,0.082917,0.414583,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89429,0.00005,18.89429,4.07809,189.2506,381.0876,1.2817,VIGILANCIA,135,9.903258e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,6,0.082917,0.4975,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89428,0.00006,18.89428,4.07809,189.2511,381.0875,1.2817,VIGILANCIA,135,9.853002e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,7,0.082917,0.580417,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89427,0.00007,18.89427,4.07808,189.2516,381.0875,1.2817,VIGILANCIA,135,9.921288e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,8,0.082917,0.663333,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89426,0.00007,18.89426,4.07808,189.2522,381.0874,1.2817,VIGILANCIA,135,9.789896e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,9,0.082917,0.74625,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89425,0.00008,18.89425,4.07808,189.2527,381.0873,1.2817,VIGILANCIA,135,9.919824e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0004,2021-08-25,10,0.082917,0.829167,1.99,RECTANGULAR_24H_ESTIMATED,65.518,39.499,18.964,2543.742,0.28,9.833893121134474e-10,0.61439,20.958,0.22712,366,630,18.89424,0.00009,18.89424,4.07808,189.2532,381.0872,1.2817,VIGILANCIA,135,9.918147e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
