scenario_id,source_date,simulation_hour,rainfall_mm_h,cumulative_rainfall_mm,observed_daily_rainfall_mm,temporal_profile,cohesion_kpa,friction_angle_deg,unit_weight_kn_m3,young_modulus_mpa,poisson_ratio,permeability_m_s,drainage_efficiency,water_table_m,storage_coefficient,mesh_nodes,mesh_elements,gravity_total_max_displacement_mm,rainfall_induced_max_displacement_mm,crest_displacement_mm,toe_displacement_mm,maximum_pore_pressure_kpa,mean_effective_stress_kpa,mohr_coulomb_safety_index,risk_level,solver_iterations,solver_residual,rainfall_source,mechanical_response_source,parameter_source,scientific_status
TA01-S0001,2021-01-14,1,4.286667,4.286667,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.73163,0.00145,23.15127,8.50652,311.3829,445.4171,1.3537,NORMAL,57,5.526476e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,2,4.286667,8.573333,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.73074,0.0029,23.15049,8.50715,311.4328,445.4108,1.3537,NORMAL,57,5.518854e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,3,4.286667,12.86,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72985,0.00435,23.14972,8.50778,311.4827,445.4044,1.3537,NORMAL,57,5.526512e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,4,4.286667,17.146667,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72896,0.0058,23.14894,8.5084,311.5325,445.3981,1.3537,NORMAL,57,5.516633e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,5,4.286667,21.433333,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72806,0.00725,23.14817,8.50903,311.5824,445.3918,1.3537,NORMAL,57,5.511996e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,6,4.286667,25.72,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72717,0.0087,23.1474,8.50966,311.6323,445.3854,1.3537,NORMAL,57,5.518278e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,7,4.286667,30.006667,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72628,0.01015,23.14662,8.51028,311.6821,445.3791,1.3537,NORMAL,57,5.511292e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,8,4.286667,34.293333,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.72539,0.0116,23.14585,8.51091,311.732,445.3728,1.3537,NORMAL,57,5.508861e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,9,4.286667,38.58,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.7245,0.01305,23.14507,8.51154,311.7819,445.3665,1.3536,NORMAL,57,5.508258e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
TA01-S0001,2021-01-14,10,4.286667,42.866667,102.88,RECTANGULAR_24H_ESTIMATED,161.351,30.873,22.836,2468.384,0.28,4.236861806348134e-9,0.30126,35.44,0.25593,92,134,24.7236,0.01451,23.1443,8.51216,311.8317,445.3601,1.3536,NORMAL,57,5.504134e-9,NASA_POWER_POINT_DAILY_PRECTOTCORR,FEM2D_CST_PLANE_STRAIN_V1,TA01_ASSUMPTION_RANGE,FEM_2D_REAL_LINEAL_NO_CALIBRADO
