sector,prism_id,period_start_month,period_end_month,cumulative_displacement_mm,source_figure,source_printed_page
Rampa Oeste,PM-24,2009-08,2010-01,176.58,19,42
Rampa Oeste,PM-25,2009-08,2010-01,175.47,19,42
Rampa Oeste,PM-26,2009-08,2010-01,200.58,19,42
Rampa Oeste,PM-27,2009-08,2010-01,232.80,19,42
Rampa Oeste,PM-28,2009-08,2010-01,275.67,19,42
Rampa Oeste,PM-29,2009-08,2010-01,339.14,19,42
Rampa Principal,PM-7,2009-08,2010-01,171.18,20,42
Rampa Principal,PM-12,2009-08,2010-01,269.83,20,42
Rampa Principal,PM-15,2009-08,2010-01,292.16,20,42
Rampa Principal,PM-21,2009-08,2010-01,808.42,20,42
Rampa Principal,PM-71,2009-08,2010-01,492.78,20,42
