sample,distance_m,longitude,latitude,elevation_m
0,0.0,-76.26486000,-10.67041000,4310
1,34.9,-76.26464542,-10.67064209,4308
2,69.7,-76.26443084,-10.67087417,4307
3,104.6,-76.26421626,-10.67110625,4304
4,139.5,-76.26400168,-10.67133834,4305
5,174.3,-76.26378710,-10.67157042,4305
6,209.2,-76.26357252,-10.67180251,4305
7,244.1,-76.26335794,-10.67203459,4304
8,278.9,-76.26314335,-10.67226668,4305
9,313.8,-76.26292877,-10.67249876,4306
10,348.7,-76.26271419,-10.67273084,4307
11,383.5,-76.26249961,-10.67296293,4311
12,418.4,-76.26228502,-10.67319501,4310
13,453.3,-76.26207044,-10.67342709,4302
14,488.2,-76.26185586,-10.67365918,4288
15,523.0,-76.26164127,-10.67389126,4279
16,557.9,-76.26142669,-10.67412334,4266
17,592.8,-76.26121210,-10.67435543,4228
18,627.6,-76.26099752,-10.67458751,4191
19,662.5,-76.26078293,-10.67481959,4168
20,697.4,-76.26056835,-10.67505167,4138
21,732.2,-76.26035376,-10.67528375,4112
22,767.1,-76.26013917,-10.67551584,4105
23,802.0,-76.25992459,-10.67574792,4094
24,836.8,-76.25971000,-10.67598000,4093
