east_m,north_m,elevation_m
499940,8599960,1360
499970,8599960,1357
500000,8599960,1355
500030,8599960,1357
500060,8599960,1360
499940,8599980,1357
499970,8599980,1338
500000,8599980,1327
500030,8599980,1338
500060,8599980,1357
499940,8600000,1355
499970,8600000,1327
500000,8600000,1300
500030,8600000,1327
500060,8600000,1355
499940,8600020,1357
499970,8600020,1338
500000,8600020,1327
500030,8600020,1338
500060,8600020,1357
499940,8600040,1360
499970,8600040,1357
500000,8600040,1355
500030,8600040,1357
500060,8600040,1360
