timestamp_utc,sensor_id,displacement_mm,pore_pressure_kpa,rainfall_mm_h,quality_flag,source
2026-09-14T00:00:00Z,EXT-01,2.400,80.0,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T01:00:00Z,EXT-01,2.405,80.1,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T02:00:00Z,EXT-01,2.411,80.2,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T03:00:00Z,EXT-01,2.418,80.4,0.2,SIMULATED_TEMPLATE,template-example
2026-09-14T04:00:00Z,EXT-01,2.426,80.7,0.5,SIMULATED_TEMPLATE,template-example
2026-09-14T05:00:00Z,EXT-01,2.435,81.1,1.0,SIMULATED_TEMPLATE,template-example
2026-09-14T06:00:00Z,EXT-01,2.445,81.6,1.5,SIMULATED_TEMPLATE,template-example
2026-09-14T07:00:00Z,EXT-01,2.456,82.2,2.0,SIMULATED_TEMPLATE,template-example
2026-09-14T08:00:00Z,EXT-01,2.468,82.9,2.5,SIMULATED_TEMPLATE,template-example
2026-09-14T09:00:00Z,EXT-01,2.481,83.7,3.0,SIMULATED_TEMPLATE,template-example
2026-09-14T10:00:00Z,EXT-01,2.495,84.5,3.5,SIMULATED_TEMPLATE,template-example
2026-09-14T11:00:00Z,EXT-01,2.510,85.4,4.0,SIMULATED_TEMPLATE,template-example
2026-09-14T12:00:00Z,EXT-01,2.526,86.2,3.0,SIMULATED_TEMPLATE,template-example
2026-09-14T13:00:00Z,EXT-01,2.543,87.0,2.0,SIMULATED_TEMPLATE,template-example
2026-09-14T14:00:00Z,EXT-01,2.561,87.7,1.0,SIMULATED_TEMPLATE,template-example
2026-09-14T15:00:00Z,EXT-01,2.580,88.3,0.5,SIMULATED_TEMPLATE,template-example
2026-09-14T16:00:00Z,EXT-01,2.600,88.8,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T17:00:00Z,EXT-01,2.621,89.2,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T18:00:00Z,EXT-01,2.643,89.5,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T19:00:00Z,EXT-01,2.666,89.7,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T20:00:00Z,EXT-01,2.690,89.9,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T21:00:00Z,EXT-01,2.715,90.0,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T22:00:00Z,EXT-01,2.741,90.0,0.0,SIMULATED_TEMPLATE,template-example
2026-09-14T23:00:00Z,EXT-01,2.768,89.9,0.0,SIMULATED_TEMPLATE,template-example
